Rank,RO,ST,Locid,city,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
618,AL,AK,OBU,Kobuk,Kobuk,GA,None,"1,502","1,357",10.69%
619,AL,AK,BLG,Beluga,Beluga,GA,None,"1,500","1,202",24.79%
620,AL,AK,HCA,Holy Cross,Holy Cross,GA,None,"1,439","1,371",4.96%
621,AL,AK,PKA,Napaskiak,Napaskiak,GA,None,"1,399","1,023",36.75%
623,AL,AK,63A,Petersburg,Lloyd R Roundtree Seaplane Facility,GA,None,"1,376","1,047",31.42%
624,AL,AK,KVC,King Cove,King Cove,GA,None,"1,372","1,432",-4.19%
625,AL,AK,4K5,Ouzinkie,Ouzinkie,GA,None,"1,347","1,432",-5.94%
628,AL,AK,IWK,Wales,Wales,GA,None,"1,328","1,298",2.31%
629,AL,AK,ORI,Port Lions,Port Lions,GA,None,"1,321","1,678",-21.28%
633,AL,AK,SXP,Sheldon Point,Nunam Iqua,GA,None,"1,257","1,064",18.14%
634,AL,AK,A29,Sitka,Sitka,GA,None,"1,252",0,0.00%
636,AL,AK,BTT,Bettles,Bettles,GA,None,"1,217","1,835",-33.68%
644,AL,AK,3Z9,Haines,Haines,GA,None,"1,142",0,0.00%
646,AL,AK,GNU,Goodnews Bay,Goodnews,GA,None,"1,113","1,219",-8.70%
647,AL,AK,9K2,Kokhanok,Kokhanok,GA,None,"1,095","1,029",6.41%
656,AL,AK,HYL,Hollis,Clark Bay,GA,None,"1,027","1,203",-14.63%
661,AL,AK,JZZ,Bristol Bay (Borough),Koliganek,GA,None,981,820,19.63%
662,AL,AK,HUS,Hughes,Hughes,GA,None,962,"1,087",-11.50%
667,AL,AK,KGX,Grayling,Grayling,GA,None,890,800,11.25%
668,AL,AK,ANV,Anvik,Anvik,GA,None,889,862,3.13%
671,AL,AK,KYU,Koyukuk,Koyukuk,GA,None,874,870,0.46%
673,AL,AK,5NN,Nondalton,Nondalton,GA,None,853,"1,157",-26.27%
675,AL,AK,EII,Egegik,Egegik,GA,None,827,917,-9.81%
677,AL,AK,WBQ,Beaver,Beaver,GA,None,819,795,3.02%
678,AL,AK,AKK,Akhiok,Akhiok,GA,None,816,997,-18.15%
680,AL,AK,TKE,Tenakee Springs,Tenakee,GA,None,805,735,9.52%
683,AL,AK,A43,Taku Harbor,Taku Harbor,GA,None,733,614,19.38%
684,AL,AK,EDF,Anchorage,Elmendorf AFB,GA,None,733,"4,128",-82.24%
685,AL,AK,CIK,Chalkyitsik,Chalkyitsik,GA,None,715,719,-0.56%
687,AL,AK,TOG,Aniak (Census Subarea),Togiak,GA,None,710,886,-19.86%
689,AL,AK,ELV,Elfin Cove,Elfin Cove,GA,None,702,578,21.45%
695,AL,AK,SHX,Shageluk,Shageluk,GA,None,663,583,13.72%
698,AL,AK,EIL,Fairbanks,Eielson AFB,GA,None,657,"3,864",-83.00%
699,AL,AK,GBH,Nome (Census Area),Galbraith Lake,GA,None,643,856,-24.88%
700,AL,AK,PPC,Yukon-Koyukuk (Census Area),Prospect Creek,GA,None,638,641,-0.47%
704,AL,AK,EAA,Eagle,Eagle,GA,None,601,519,15.80%
723,AL,AK,RMP,Rampart,Rampart,GA,None,496,621,-20.13%
